Date,ShortVolume,ShortExemptVolume,TotalVolume
2020-05-01,338456.0,6337.0,625515.0
2020-04-30,316352.0,2338.0,589222.0
2020-04-29,849773.0,12712.0,1346423.0
2020-04-28,370898.0,1153.0,957601.0
2020-04-27,225281.0,436.0,487091.0
2020-04-24,248072.0,1699.0,488758.0
2020-04-23,204897.0,1519.0,385427.0
2020-04-22,285615.0,202.0,556114.0
2020-04-21,307335.0,412.0,557481.0
2020-04-20,228946.0,176.0,556142.0
2020-04-17,316853.0,2692.0,669052.0
2020-04-16,366465.0,465.0,665989.0
2020-04-15,253443.0,818.0,507419.0
2020-04-14,410934.0,3468.0,837666.0
2020-04-13,220379.0,525.0,550640.0
2020-04-09,266315.0,400.0,660181.0
2020-04-08,247403.0,112.0,434812.0
2020-04-07,356713.0,2670.0,799611.0
2020-04-06,441465.0,524.0,763361.0
2020-04-03,245792.0,200.0,629131.0
2020-04-02,313524.0,1680.0,752852.0
2020-04-01,330678.0,1156.0,705768.0
2020-03-31,389171.0,428.0,733205.0
2020-03-30,419341.0,3553.0,757570.0
2020-03-27,417735.0,1119.0,782678.0
2020-03-26,531193.0,526.0,936749.0
2020-03-25,563320.0,10086.0,1092697.0
2020-03-24,379436.0,1656.0,845980.0
2020-03-23,450216.0,962.0,1019118.0
2020-03-20,435821.0,781.0,834004.0
2020-03-19,427074.0,504.0,1082746.0
2020-03-18,603776.0,3382.0,1120624.0
2020-03-17,444722.0,16023.0,947285.0
2020-03-16,444974.0,28691.0,1158516.0
2020-03-13,448636.0,1115.0,882104.0
2020-03-12,526943.0,2564.0,1093357.0
2020-03-11,279023.0,270.0,635179.0
2020-03-10,294803.0,928.0,545466.0
2020-03-09,381312.0,2607.0,793131.0
2020-03-06,402379.0,2830.0,724411.0
2020-03-05,332014.0,610.0,589884.0
2020-03-04,192531.0,1637.0,550266.0
2020-03-03,287167.0,2085.0,553322.0
2020-03-02,330778.0,1749.0,565234.0
2020-02-28,438892.0,3050.0,846438.0
2020-02-27,348236.0,2020.0,682336.0
2020-02-26,261606.0,188.0,494819.0
2020-02-25,312869.0,3951.0,564666.0
2020-02-24,250876.0,1008.0,535110.0
2020-02-21,240326.0,984.0,401408.0
2020-02-20,124853.0,1998.0,292280.0
2020-02-19,121304.0,6804.0,236329.0
2020-02-18,127042.0,1006.0,274916.0
2020-02-14,100609.0,2594.0,334122.0
2020-02-13,113990.0,205.0,208541.0
2020-02-12,122105.0,170.0,215333.0
2020-02-11,258051.0,1829.0,429336.0
2020-02-10,213888.0,2884.0,417083.0
2020-02-07,197773.0,1372.0,335399.0
2020-02-06,219038.0,236.0,448702.0
2020-02-05,223835.0,1297.0,365389.0
2020-02-04,520694.0,884.0,1086902.0
2020-02-03,289886.0,1778.0,661916.0
2020-01-31,212421.0,396.0,477459.0
2020-01-30,123659.0,462.0,283196.0
2020-01-29,124640.0,389.0,232172.0
2020-01-28,127471.0,216.0,245718.0
2020-01-27,146753.0,4659.0,347431.0
2020-01-24,139234.0,500.0,314631.0
2020-01-23,87360.0,111.0,256622.0
2020-01-22,137217.0,110.0,234408.0
2020-01-21,159957.0,953.0,305657.0
2020-01-17,135549.0,1185.0,305164.0
2020-01-16,113059.0,426.0,224363.0
2020-01-15,72608.0,106.0,193247.0
2020-01-14,93060.0,293.0,212962.0
2020-01-13,310289.0,1322.0,422950.0
2020-01-10,131132.0,1332.0,288486.0
2020-01-09,153252.0,169.0,338814.0
2020-01-08,227199.0,2218.0,448943.0
2020-01-07,208062.0,781.0,451994.0
2020-01-06,191134.0,559.0,434582.0
2020-01-03,114415.0,209.0,209028.0
2020-01-02,139042.0,567.0,285897.0
2019-12-31,48863.0,598.0,147332.0
2019-12-30,66143.0,20.0,208078.0
2019-12-27,88934.0,1658.0,224216.0
2019-12-26,73553.0,100.0,143856.0
2019-12-24,187864.0,0.0,222861.0
2019-12-23,104856.0,4671.0,169669.0
2019-12-20,103534.0,1.0,262141.0
2019-12-19,87385.0,165.0,178252.0
2019-12-18,75663.0,200.0,204218.0
2019-12-17,99416.0,119.0,308661.0
2019-12-16,89527.0,1161.0,228991.0
2019-12-13,93332.0,503.0,211897.0
2019-12-12,94031.0,164.0,256637.0
2019-12-11,59464.0,234.0,158515.0
2019-12-10,62172.0,245.0,167808.0
2019-12-09,156609.0,96.0,313122.0
2019-12-06,122494.0,3458.0,306617.0
2019-12-05,124082.0,747.0,278817.0
2019-12-04,143357.0,510.0,347175.0
2019-12-03,84079.0,164.0,238337.0
2019-12-02,79633.0,1542.0,214814.0
2019-11-29,56504.0,3.0,165768.0
2019-11-27,58459.0,266.0,177727.0
2019-11-26,61048.0,8.0,165427.0
2019-11-25,66060.0,5.0,206904.0
2019-11-22,71438.0,988.0,185657.0
2019-11-21,82196.0,520.0,218027.0
2019-11-20,96324.0,1279.0,239621.0
2019-11-19,83772.0,4.0,214882.0
2019-11-18,103303.0,375.0,255729.0
2019-11-15,169269.0,2536.0,377829.0
2019-11-14,117053.0,660.0,401646.0
2019-11-13,44358.0,317.0,152534.0
2019-11-12,84700.0,696.0,242852.0
2019-11-11,71752.0,1104.0,163601.0
2019-11-08,103948.0,1117.0,385410.0
2019-11-07,166105.0,738.0,404749.0
